"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"12/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"31952,07";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"12/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"67233,56";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"13/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"43598,45";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"13/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"34068,12";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"13/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"71692,30";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"14/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"31377,26";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"14/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"24525,93";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"14/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"51603,01";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"17/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"44459,61";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"17/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"34761,34";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"17/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"73127,11";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"18/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"63954,83";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"18/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"50005,08";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"18/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"105193,84";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"19/02/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"42122,73";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
